2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '魏老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '孙老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '殷老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '高老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '吴老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '朱老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '骆老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '梁老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '杜老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '孟老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': ' 邓老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '苏老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '段老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '汤老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '赵老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '周老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '凡老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '高老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '苏老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '谢老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '江老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '彭老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '胡老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '黄老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '董老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '林老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '于老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '周老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '邹老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '易老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '毛老师', 'title': '高级讲师', 'hello': 'world'}
